house,bravery_score,wisdom_score,ambition_score,loyalty_score,leadership,impulsiveness,justice_oriented,risk_taking,bravery_loyalty_ratio,wisdom_ambition_ratio,leadership_potential,moral_flexibility,calculated_thinking,courage_type,gryffindor_composite,hufflepuff_composite,ravenclaw_composite,slytherin_composite
Slytherin,5,9,8,6,10,3,7,6,0.819672131147541,1.1111111111111112,7.666666666666667,3,8.0,3.0,5.95,5.6000000000000005,8.75,7.699999999999999
Ravenclaw,6,10,8,8,5,5,7,4,0.7407407407407408,1.234567901234568,6.333333333333333,3,7.5,2.4,6.35,6.1000000000000005,7.975,6.65
Gryffindor,8,4,9,7,9,6,9,7,1.1267605633802817,0.43956043956043955,8.666666666666666,1,4.0,5.6,7.800000000000001,5.8500000000000005,6.0,6.4
Gryffindor,8,7,9,8,7,7,10,7,0.9876543209876544,0.7692307692307693,8.0,0,5.0,5.6,8.3,6.3500000000000005,6.9,6.300000000000001
Gryffindor,9,7,5,7,10,8,8,8,1.267605633802817,1.3725490196078431,8.0,2,4.5,7.2,8.049999999999999,6.1000000000000005,6.574999999999999,6.050000000000001
Slytherin,6,6,9,7,9,4,4,7,0.8450704225352114,0.6593406593406593,8.0,6,6.0,4.2,5.95,4.9,7.199999999999999,7.800000000000001
Ravenclaw,4,8,10,5,8,5,9,5,0.7843137254901962,0.7920792079207921,7.333333333333333,1,6.5,2.0,5.7,5.0,8.025,7.3
Slytherin,8,8,9,4,10,6,5,8,1.9512195121951221,0.8791208791208791,9.0,5,6.0,6.4,6.25,3.6500000000000004,8.1,8.25
Slytherin,8,9,9,6,10,3,3,5,1.3114754098360657,0.989010989010989,9.0,7,8.0,4.0,5.65,4.4,8.95,8.85
Slytherin,7,8,8,7,9,3,3,8,0.9859154929577465,0.9876543209876544,8.0,7,7.5,5.6,6.199999999999999,5.0,8.075000000000001,8.05
Slytherin,6,8,8,4,10,5,4,5,1.4634146341463417,0.9876543209876544,8.0,6,6.5,3.0,4.8,3.75,8.025,8.100000000000001
Slytherin,7,7,10,6,7,4,7,6,1.1475409836065575,0.6930693069306931,8.0,3,6.5,4.2,6.55,5.050000000000001,7.475,7.25
Hufflepuff,5,8,4,9,6,3,7,6,0.5494505494505495,1.9512195121951221,5.0,3,7.5,3.0,6.7,7.6,6.675,5.1
Hufflepuff,5,5,4,8,5,2,9,6,0.617283950617284,1.2195121951219514,4.666666666666667,1,6.5,3.0,6.95,7.8500000000000005,5.175,3.85
Ravenclaw,3,8,6,5,7,3,5,4,0.5882352941176471,1.3114754098360657,5.333333333333333,5,7.5,1.2,4.2,5.1,7.275,6.449999999999999
Hufflepuff,7,8,3,8,5,5,7,4,0.8641975308641976,2.5806451612903225,5.0,3,6.5,2.8,6.6499999999999995,7.1000000000000005,6.025,4.5
Ravenclaw,3,10,9,8,8,5,5,6,0.3703703703703704,1.098901098901099,6.666666666666667,5,7.5,1.8,5.3500000000000005,5.4,8.775,8.15
Hufflepuff,4,7,3,10,3,3,6,3,0.39603960396039606,2.258064516129032,3.3333333333333335,4,7.0,1.2,5.800000000000001,7.95,5.399999999999999,4.0
Ravenclaw,6,8,7,5,6,4,5,7,1.1764705882352942,1.1267605633802817,6.333333333333333,5,7.0,4.2,5.7,4.75,7.15,6.55
Ravenclaw,6,8,6,7,7,2,7,7,0.8450704225352114,1.3114754098360657,6.333333333333333,3,8.0,4.2,6.7,6.550000000000001,7.4,6.049999999999999
Slytherin,6,8,10,5,10,6,7,5,1.1764705882352942,0.7920792079207921,8.666666666666666,3,6.0,3.0,5.8,4.35,8.3,8.2
Hufflepuff,6,8,3,10,7,5,6,5,0.594059405940594,2.5806451612903225,5.333333333333333,4,6.5,3.0,6.8,7.65,6.425000000000001,5.2
Gryffindor,10,4,9,6,7,7,9,8,1.639344262295082,0.43956043956043955,8.666666666666666,1,3.5,8.0,8.35,5.300000000000001,5.4750000000000005,5.9
Slytherin,7,9,8,6,9,3,5,7,1.1475409836065575,1.1111111111111112,8.0,5,8.0,4.9,6.25,5.1000000000000005,8.55,7.85
Slytherin,6,8,8,5,8,5,3,5,1.1764705882352942,0.9876543209876544,7.333333333333333,7,6.5,3.0,4.8,3.9,7.625,7.800000000000001
Slytherin,6,8,9,4,10,4,3,6,1.4634146341463417,0.8791208791208791,8.333333333333334,7,7.0,3.6,4.75,3.45,8.35,8.65
Slytherin,7,7,8,4,7,3,5,8,1.707317073170732,0.8641975308641976,7.333333333333333,5,7.0,5.6,5.949999999999999,4.3,7.199999999999999,6.95
Gryffindor,10,8,5,7,7,6,9,9,1.4084507042253522,1.5686274509803924,7.333333333333333,1,6.0,9.0,8.8,6.65,6.7,5.3
Gryffindor,7,8,8,9,9,8,9,7,0.7692307692307693,0.9876543209876544,8.0,1,5.0,4.9,8.0,6.55,7.45,6.8500000000000005
Hufflepuff,7,6,5,10,4,3,8,5,0.6930693069306931,1.1764705882352942,5.333333333333333,2,6.5,3.5,7.6,8.05,5.5249999999999995,4.3500000000000005
Slytherin,6,8,8,4,8,6,4,8,1.4634146341463417,0.9876543209876544,7.333333333333333,6,6.0,4.8,5.4,3.6,7.5,7.6000000000000005
Gryffindor,10,8,4,8,6,8,7,10,1.234567901234568,1.9512195121951221,6.666666666666667,3,5.0,10.0,8.75,6.45,6.05,5.1
Hufflepuff,7,5,5,8,3,7,5,4,0.8641975308641976,0.9803921568627452,5.0,5,4.0,2.8,6.1499999999999995,5.9,4.35,4.5
Ravenclaw,7,7,7,8,8,5,5,5,0.8641975308641976,0.9859154929577465,7.333333333333333,5,6.0,3.5,6.35,5.800000000000001,6.949999999999999,6.85
Gryffindor,9,8,9,8,10,6,10,9,1.1111111111111112,0.8791208791208791,9.333333333333334,0,6.0,8.1,9.0,6.5,8.1,7.25
Ravenclaw,5,8,8,7,4,3,4,6,0.7042253521126761,0.9876543209876544,5.666666666666667,6,7.5,3.0,5.45,5.25,7.075,6.6000000000000005
Hufflepuff,6,5,3,9,5,5,8,3,0.6593406593406593,1.6129032258064515,4.666666666666667,2,5.0,1.8,6.65,7.75,4.6,3.6999999999999997
Slytherin,5,9,9,7,10,6,6,8,0.7042253521126761,0.989010989010989,8.0,4,6.5,4.0,6.35,5.1000000000000005,8.575,8.25
Ravenclaw,6,8,9,6,7,5,6,7,0.9836065573770493,0.8791208791208791,7.333333333333333,4,6.5,4.2,6.2,4.8500000000000005,7.625,7.3
Slytherin,4,7,9,7,8,3,3,8,0.5633802816901409,0.7692307692307693,7.0,7,7.0,3.2,5.300000000000001,4.800000000000001,7.6,7.950000000000001
Gryffindor,10,6,5,6,6,6,10,7,1.639344262295082,1.1764705882352942,7.0,0,5.0,7.0,8.4,6.5,5.55,4.45
Hufflepuff,7,8,3,8,5,2,7,4,0.8641975308641976,2.5806451612903225,5.0,3,8.0,2.8,6.6499999999999995,7.550000000000001,6.4,4.5
Gryffindor,9,8,5,7,7,9,8,7,1.267605633802817,1.5686274509803924,7.0,2,4.5,6.3,7.85,5.950000000000001,6.325,5.5
Slytherin,5,8,8,6,10,3,3,6,0.819672131147541,0.9876543209876544,7.666666666666667,7,7.5,3.0,4.95,4.6000000000000005,8.275,8.3
Gryffindor,10,4,7,4,7,8,7,8,2.439024390243903,0.5633802816901409,8.0,3,3.0,8.0,7.35,4.25,4.95,5.6
Ravenclaw,5,10,6,7,4,3,6,6,0.7042253521126761,1.639344262295082,5.0,4,8.5,3.0,5.95,6.15,7.625,5.8999999999999995
Gryffindor,9,4,9,9,9,7,7,9,0.989010989010989,0.43956043956043955,9.0,3,3.5,8.1,8.5,6.0,5.875,6.800000000000001
Slytherin,5,7,10,4,9,3,7,5,1.2195121951219514,0.6930693069306931,8.0,3,7.0,2.5,5.25,4.4,7.999999999999999,7.75
Slytherin,6,7,10,4,7,4,1,6,1.4634146341463417,0.6930693069306931,7.666666666666667,9,6.5,3.6,4.25,2.75,7.475,8.450000000000001
Hufflepuff,4,7,3,8,4,3,6,3,0.4938271604938272,2.258064516129032,3.6666666666666665,4,7.0,1.2,5.300000000000001,7.15,5.599999999999999,4.25
Slytherin,8,9,9,7,7,6,4,6,1.1267605633802817,0.989010989010989,8.0,6,6.5,4.8,6.3500000000000005,4.6,7.9750000000000005,7.9
Ravenclaw,4,9,7,7,5,3,8,4,0.5633802816901409,1.267605633802817,5.333333333333333,2,8.0,1.6,5.75,6.45,7.550000000000001,5.9
Gryffindor,8,7,9,7,8,6,7,10,1.1267605633802817,0.7692307692307693,8.333333333333334,3,5.5,8.0,7.9,5.3500000000000005,7.225,7.15
Ravenclaw,7,8,7,7,6,4,7,5,0.9859154929577465,1.1267605633802817,6.666666666666667,3,7.0,3.5,6.6,6.050000000000001,7.15,6.15
Gryffindor,10,7,6,5,7,7,8,8,1.9607843137254903,1.1475409836065575,7.666666666666667,2,5.0,8.0,7.85,5.25,6.300000000000001,5.65
Gryffindor,9,6,7,8,7,9,5,8,1.1111111111111112,0.8450704225352114,7.666666666666667,5,3.5,7.2,7.549999999999999,5.200000000000001,5.775,6.3999999999999995
Ravenclaw,3,9,10,6,5,4,5,4,0.49180327868852464,0.8910891089108911,6.0,5,7.5,1.2,4.45,4.550000000000001,8.025,7.55
Slytherin,5,9,9,7,7,2,3,8,0.7042253521126761,0.989010989010989,7.0,7,8.5,4.0,5.6,4.95,8.475,8.1
Ravenclaw,6,8,7,6,8,3,5,5,0.9836065573770493,1.1267605633802817,7.0,5,7.5,3.0,5.55,5.3,7.675000000000001,7.049999999999999
Slytherin,5,8,10,6,9,3,5,6,0.819672131147541,0.7920792079207921,8.0,5,7.5,3.0,5.45,4.7,8.475,8.35
Gryffindor,10,7,8,9,6,8,10,9,1.098901098901099,0.8641975308641976,8.0,0,4.5,9.0,9.55,6.8,6.375,5.7
Hufflepuff,6,5,6,9,7,3,8,5,0.6593406593406593,0.819672131147541,6.333333333333333,2,6.0,3.0,7.05,7.449999999999999,5.8500000000000005,5.25
Ravenclaw,7,8,7,8,5,2,6,4,0.8641975308641976,1.1267605633802817,6.333333333333333,4,8.0,2.8,6.3999999999999995,6.500000000000001,7.2,6.1
Slytherin,6,6,8,4,10,4,4,5,1.4634146341463417,0.7407407407407408,8.0,6,6.0,3.0,4.8,3.9,7.199999999999999,7.7
Ravenclaw,4,8,8,5,5,2,7,4,0.7843137254901962,0.9876543209876544,5.666666666666667,3,8.0,1.6,5.0,5.3500000000000005,7.4,6.25
Slytherin,6,8,9,6,9,6,8,5,0.9836065573770493,0.8791208791208791,8.0,2,6.0,3.0,6.3,5.2,7.8999999999999995,7.4
Gryffindor,8,7,3,9,6,8,8,9,0.8791208791208791,2.258064516129032,5.666666666666667,2,4.5,7.2,8.450000000000001,7.3,5.375,4.3500000000000005
Slytherin,7,8,10,7,8,4,3,6,0.9859154929577465,0.7920792079207921,8.333333333333334,7,7.0,4.2,5.8,4.45,8.15,8.5
Ravenclaw,4,8,7,6,6,5,7,6,0.6557377049180328,1.1267605633802817,5.666666666666667,3,6.5,2.4,5.65,5.5,7.025,6.15
Gryffindor,8,6,8,6,7,7,8,8,1.3114754098360657,0.7407407407407408,7.666666666666667,2,4.5,6.4,7.5,5.250000000000001,6.225,6.15
Slytherin,7,8,9,6,9,6,4,7,1.1475409836065575,0.8791208791208791,8.333333333333334,6,6.0,4.9,6.0,4.2,7.8999999999999995,8.2
Gryffindor,7,4,6,7,9,8,7,7,0.9859154929577465,0.6557377049180328,7.333333333333333,3,3.0,4.9,7.0,5.65,5.15,5.75
Gryffindor,10,4,8,7,8,4,7,8,1.4084507042253522,0.4938271604938272,8.666666666666666,3,5.0,8.0,8.1,5.850000000000001,5.85,6.199999999999999
Gryffindor,9,7,6,10,6,9,9,8,0.8910891089108911,1.1475409836065575,7.0,1,4.0,7.2,9.049999999999999,7.2,5.8500000000000005,5.2
Slytherin,5,6,10,6,7,6,4,7,0.819672131147541,0.594059405940594,7.333333333333333,6,5.0,3.5,5.4,4.0,6.75,7.65
Slytherin,8,8,8,5,7,3,3,5,1.5686274509803924,0.9876543209876544,7.666666666666667,7,7.5,4.0,5.4,4.2,7.675000000000001,7.550000000000001
Ravenclaw,7,9,7,7,7,3,7,5,0.9859154929577465,1.267605633802817,7.0,3,8.0,3.5,6.6,6.2,7.950000000000001,6.6
Slytherin,6,7,10,8,10,3,5,7,0.7407407407407408,0.6930693069306931,8.666666666666666,5,7.0,4.2,6.45,5.5,8.2,8.4
Gryffindor,9,8,8,9,7,9,10,9,0.989010989010989,0.9876543209876544,8.0,0,4.5,8.1,9.25,6.65,6.925000000000001,6.15
Slytherin,8,8,9,6,7,4,5,6,1.3114754098360657,0.8791208791208791,8.0,5,7.0,4.8,6.3500000000000005,4.75,7.75,7.5
Hufflepuff,4,6,5,9,4,4,6,6,0.43956043956043955,1.1764705882352942,4.333333333333333,4,6.0,2.4,6.15,7.0,5.3999999999999995,4.75
Hufflepuff,4,6,4,9,6,4,9,3,0.43956043956043955,1.4634146341463417,4.666666666666667,1,6.0,1.2,6.300000000000001,7.949999999999999,5.6,4.3
Hufflepuff,7,4,6,10,3,3,7,6,0.6930693069306931,0.6557377049180328,5.333333333333333,3,5.5,4.2,7.55,7.6,4.575,4.25
Ravenclaw,7,9,8,5,7,2,7,6,1.3725490196078431,1.1111111111111112,7.333333333333333,3,8.5,4.2,6.3,5.3500000000000005,8.275,6.949999999999999
Ravenclaw,3,9,7,8,5,2,7,5,0.3703703703703704,1.267605633802817,5.0,3,8.5,1.5,5.65,6.750000000000001,7.675000000000001,6.1
Ravenclaw,6,8,6,8,5,5,5,6,0.7407407407407408,1.3114754098360657,5.666666666666667,5,6.5,3.6,6.25,6.0,6.625,5.949999999999999
Hufflepuff,4,5,3,8,5,4,9,4,0.4938271604938272,1.6129032258064515,4.0,1,5.5,1.6,6.25,7.75,4.725,3.5
Hufflepuff,6,7,4,10,3,2,7,6,0.594059405940594,1.707317073170732,4.333333333333333,3,7.5,3.6,7.25,8.15,5.725,4.15
Hufflepuff,7,8,4,6,5,2,7,6,1.1475409836065575,1.9512195121951221,5.333333333333333,3,8.0,4.2,6.55,6.550000000000001,6.6,4.85
Hufflepuff,6,7,3,9,6,5,6,6,0.6593406593406593,2.258064516129032,5.0,4,6.0,3.6,6.75,7.25,5.75,4.75
Gryffindor,9,4,9,7,9,7,9,7,1.267605633802817,0.43956043956043955,9.0,1,3.5,6.3,8.1,5.700000000000001,5.875,6.4
Gryffindor,7,6,7,8,7,7,10,7,0.8641975308641976,0.8450704225352114,7.0,0,4.5,4.9,8.0,6.750000000000001,6.025,5.3999999999999995
Gryffindor,7,5,5,7,8,6,8,7,0.9859154929577465,0.9803921568627452,6.666666666666667,2,4.5,4.9,7.25,6.4,5.475,5.15
Gryffindor,9,4,5,6,6,8,9,8,1.4754098360655739,0.7843137254901962,6.666666666666667,1,3.0,7.2,8.049999999999999,5.95,4.35,4.25
Slytherin,6,6,9,6,9,4,5,7,0.9836065573770493,0.6593406593406593,8.0,5,6.0,4.2,5.95,4.75,7.199999999999999,7.6000000000000005
Slytherin,7,9,9,7,10,5,7,5,0.9859154929577465,0.989010989010989,8.666666666666666,3,7.0,3.5,6.6,5.500000000000001,8.7,8.05
Slytherin,8,7,10,6,10,3,3,6,1.3114754098360657,0.6930693069306931,9.333333333333334,7,7.0,4.8,5.8500000000000005,4.2,8.2,8.8
Slytherin,5,4,10,6,7,4,6,6,0.819672131147541,0.39603960396039606,7.333333333333333,4,5.0,3.0,5.7,4.800000000000001,6.050000000000001,6.85
Hufflepuff,5,6,3,10,4,2,7,4,0.49504950495049505,1.9354838709677418,4.0,3,7.0,2.0,6.55,8.35,5.249999999999999,3.85
Hufflepuff,4,7,5,8,6,5,8,3,0.4938271604938272,1.3725490196078431,5.0,2,6.0,1.2,5.800000000000001,6.95,6.1499999999999995,5.050000000000001
Gryffindor,9,8,9,8,10,10,7,8,1.1111111111111112,0.8791208791208791,9.333333333333334,3,4.0,7.2,8.049999999999999,5.15,7.6,7.85
Ravenclaw,5,10,8,7,7,5,6,6,0.7042253521126761,1.234567901234568,6.666666666666667,4,7.5,3.0,5.95,5.450000000000001,8.375,7.35
Slytherin,7,6,10,5,9,6,4,6,1.3725490196078431,0.594059405940594,8.666666666666666,6,5.0,4.2,5.55,3.6,7.1499999999999995,8.15
Hufflepuff,6,8,4,8,4,2,5,3,0.7407407407407408,1.9512195121951221,4.666666666666667,5,8.0,1.8,5.65,6.8500000000000005,6.3999999999999995,5.0
